song_id,instrument,confidence_score
1,instrument al,0.921
2,instrument al,0.961
3,instrument al,0.927
4,instrument al,0.962
5,instrument al,0.923
6,instrument al,0.872
7,instrument al,0.872
8,instrument al,0.855
36,instrument al,0.879
134,instrument al,0.503
313,instrument al,0.566
314,instrument al,0.814
315,instrument al,0.837
316,instrument al,0.654
317,instrument al,0.761
318,instrument al,0.697
320,instrument al,0.883
407,instrument al,0.737
475,instrument al,0.827
487,instrument al,0.756
501,instrument al,0.653
508,instrument al,0.914
509,instrument al,0.833
548,instrument al,0.823
598,instrument al,0.635
599,instrument al,0.847
642,instrument al,0.734
646,instrument al,0.713
649,instrument al,0.718
653,instrument al,0.929
666,instrument al,0.509
724,instrument al,0.765
743,instrument al,0.619
786,instrument al,0.728
789,instrument al,0.896
1043,instrument al,0.732
1133,instrument al,0.895
1136,instrument al,0.882
1165,instrument al,0.756
1308,instrument al,0.912
1309,instrument al,0.939
1311,instrument al,0.897
1334,instrument al,0.831
1352,instrument al,0.907
1355,instrument al,0.503
1358,instrument al,0.924
1360,instrument al,0.885
1361,instrument al,0.787
1362,instrument al,0.89
1363,instrument al,0.844
1366,instrument al,0.901
1367,instrument al,0.826
1374,instrument al,0.844
1379,instrument al,0.956
1381,instrument al,0.912
1382,instrument al,0.884
1383,instrument al,0.939
1391,instrument al,0.803
1408,instrument al,0.755
1409,instrument al,0.95
1410,instrument al,0.91
1411,instrument al,0.849
1412,instrument al,0.651
1413,instrument al,0.845
1414,instrument al,0.924
1415,instrument al,0.961
1418,instrument al,0.874
1420,instrument al,0.737
1436,instrument al,0.949
1443,instrument al,0.949
1476,instrument al,0.859
1477,instrument al,0.948
1480,instrument al,0.972
1481,instrument al,0.935
1482,instrument al,0.694
1483,instrument al,0.896
1484,instrument al,0.897
1485,instrument al,0.783
1486,instrument al,0.916
1487,instrument al,0.952
1495,instrument al,0.598
1500,instrument al,0.863
1516,instrument al,0.869
1568,instrument al,0.942
1569,instrument al,0.933
1571,instrument al,0.936
1573,instrument al,0.821
1574,instrument al,0.607
1575,instrument al,0.847
1577,instrument al,0.914
1581,instrument al,0.926
1584,instrument al,0.625
1587,instrument al,0.898
1588,instrument al,0.928
1589,instrument al,0.83
1590,instrument al,0.529
1591,instrument al,0.841
1600,instrument al,0.834
1601,instrument al,0.923
1602,instrument al,0.863
1603,instrument al,0.841
1604,instrument al,0.902
1605,instrument al,0.866
1606,instrument al,0.913
1607,instrument al,0.907
1608,instrument al,0.83
1609,instrument al,0.961
1610,instrument al,0.936
1611,instrument al,0.923
1612,instrument al,0.89
1613,instrument al,0.957
1614,instrument al,0.936
1615,instrument al,0.743
1616,instrument al,0.902
1617,instrument al,0.893
1618,instrument al,0.946
1619,instrument al,0.976
1620,instrument al,0.91
1621,instrument al,0.571
1622,instrument al,0.921
1623,instrument al,0.883
1624,instrument al,0.916
1625,instrument al,0.93
1626,instrument al,0.853
1627,instrument al,0.945
1628,instrument al,0.955
1629,instrument al,0.988
1630,instrument al,0.953
1631,instrument al,0.914
1632,instrument al,0.631
1633,instrument al,0.818
1634,instrument al,0.577
1636,instrument al,0.747
1638,instrument al,0.536
1640,instrument al,0.881
1641,instrument al,0.933
1642,instrument al,0.852
1643,instrument al,0.922
1644,instrument al,0.949
1645,instrument al,0.95
1646,instrument al,0.923
1647,instrument al,0.948
1648,instrument al,0.887
1649,instrument al,0.852
1650,instrument al,0.716
1651,instrument al,0.804
1652,instrument al,0.952
1653,instrument al,0.801
1654,instrument al,0.913
1655,instrument al,0.916
1656,instrument al,0.962
1657,instrument al,0.576
1659,instrument al,0.823
1660,instrument al,0.85
1661,instrument al,0.84
1662,instrument al,0.889
1663,instrument al,0.644
1664,instrument al,0.888
1665,instrument al,0.924
1666,instrument al,0.892
1668,instrument al,0.869
1669,instrument al,0.842
1670,instrument al,0.803
