song_id,title,artist_id,duration_ms,release_date,genre,tempo,energy,danceability,instrumentalness
1,Six Studies in English Folksong,1,106600,0000-00-00,pop,72.294,0.000995,0.229,0.921
2,Six Studies in English Folksong,1,73626,0000-00-00,pop,69.624,0.00332,0.318,0.961
3,Six Studies in English Folksong,1,86440,0000-00-00,pop,65.9,0.00224,0.113,0.927
4,Six Studies in English Folksong,1,81466,0000-00-00,pop,69.565,0.00262,0.214,0.962
5,Six Studies in English Folksong,1,86693,0000-00-00,pop,67.941,0.00195,0.254,0.923
6,Six Studies in English Folksong,1,56840,0000-00-00,pop,136.125,0.118,0.546,0.872
7,Sonata for Tuba and Piano Mvt. I: Allegro Pesante,1,205040,1990-01-01,pop,72.625,0.0374,0.487,0.872
8,Partita in A minor for Flute Alone BMV 1013,1,255160,0000-00-00,pop,77.429,0.0135,0.298,0.855
9,Cruel Summer,2,178426,2019-08-23,pop,169.994,0.702,0.552,2.06e-05
10,I Can Do It With a Broken Heart,2,218004,2024-04-18,pop,129.994,0.751,0.701,0.0
11,Fortnight (feat. Post Malone),2,228965,2024-04-18,pop,192.004,0.386,0.504,1.53e-05
12,us. (feat. Taylor Swift),2,242666,2024-06-21,pop,102.043,0.553,0.533,0.0
13,august,2,261922,2020-07-24,pop,89.937,0.623,0.532,7.28e-05
14,Don’t Blame Me,2,236413,2017-11-10,pop,135.917,0.534,0.615,1.76e-05
15,Lover,2,221306,2019-08-23,pop,68.534,0.543,0.359,1.58e-05
16,cardigan,2,239560,2020-07-24,pop,130.033,0.581,0.613,0.000345
17,WAIT FOR U (feat. Drake & Tems),3,189893,2022-04-29,pop,83.389,0.642,0.463,0.0
18,Love Me,3,255053,2013-01-01,pop,124.926,0.634,0.67,0.0
19,One Dance,3,173986,2016-05-06,pop,103.967,0.625,0.792,0.0018
20,Passionfruit,3,298940,2017-03-18,pop,111.98,0.463,0.809,0.085
21,Circadian Rhythm,3,126356,2024-08-30,pop,146.007,0.574,0.694,0.0
22,Headlines,3,235986,2011-11-15,pop,151.894,0.566,0.636,0.000353
23,Jimmy Cooks (feat. 21 Savage),3,218364,2022-06-17,pop,165.921,0.673,0.529,2.41e-06
24,No Face,3,137142,2024-08-31,pop,125.951,0.69,0.853,0.0
25,Timeless (with Playboi Carti),4,256000,2024-09-27,pop,119.973,0.722,0.769,2.56e-06
26,"One Of The Girls (with JENNIE, Lily Rose Depp)",4,244684,2023-06-23,pop,84.828,0.64,0.264,2.31e-06
27,São Paulo (feat. Anitta),4,301623,2024-10-31,pop,127.347,0.659,0.574,0.0002
28,Blinding Lights,4,200040,2020-03-20,pop,171.001,0.73,0.513,9.54e-05
29,Low Life (feat. The Weeknd),4,313546,2016-04-13,pop,143.961,0.331,0.722,0.282
30,The Hills,4,242253,2015-08-28,pop,113.003,0.564,0.585,0.0
31,Starboy,4,230453,2016-11-25,pop,186.003,0.587,0.679,6.35e-06
32,Die For You,4,260253,2016-11-24,pop,133.629,0.525,0.586,0.0
33,BIRDS OF A FEATHER,5,210373,2024-05-17,pop,104.978,0.507,0.747,0.0608
34,WILDFLOWER,5,261466,2024-05-17,pop,148.101,0.247,0.467,0.000271
35,Guess featuring billie eilish,5,143330,2024-08-01,pop,130.019,0.667,0.776,0.3
36,CHIHIRO,5,303440,2024-05-17,pop,110.015,0.425,0.7,0.879
37,LUNCH,5,179586,2024-05-17,pop,124.987,0.4,0.893,0.0823
38,"What Was I Made For? [From The Motion Picture ""Barbie""]",5,222369,2023-07-13,pop,79.449,0.084,0.391,0.0
39,Guess featuring billie eilish,5,143330,2024-10-11,pop,130.034,0.713,0.78,0.206
40,lovely (with Khalid),5,200185,2018-04-19,pop,115.284,0.296,0.351,0.0
41,Taste,6,157279,2024-08-23,pop,112.964,0.907,0.674,0.0
42,Bed Chem,6,171869,2024-08-23,pop,94.99,0.727,0.739,0.0
43,Juno,6,223192,2024-08-23,pop,130.504,0.725,0.633,0.0
44,Good Graces,6,185265,2024-08-23,pop,126.012,0.759,0.758,3.96e-06
45,Espresso,6,175459,2024-08-23,pop,103.963,0.776,0.699,5.36e-06
46,Espresso,6,175459,2024-04-12,pop,103.969,0.76,0.701,6.54e-05
47,Please Please Please,6,186365,2024-08-23,pop,107.015,0.586,0.675,0.0
48,Please Please Please,6,186365,2024-06-06,pop,107.071,0.586,0.669,0.0
49,Die With A Smile,7,251667,2024-08-16,pop,157.969,0.592,0.521,0.0
50,APT.,7,169917,2024-10-18,pop,149.027,0.783,0.777,0.0
51,Locked out of Heaven,7,233478,2012-12-07,pop,143.994,0.698,0.726,0.0
52,That's What I Like,7,206693,2016-11-17,pop,134.066,0.56,0.853,0.0
53,Just the Way You Are,7,220734,2010-05-11,pop,109.021,0.841,0.635,0.0
