survey_id,user_id,favorite_genre,preferred_instrument,listening_frequency,survey_date
1,96,Electronic,Trumpet,Occasionally,2024-05-14
2,27,Rock,Piano,Rarely,2024-01-01
3,118,Jazz,Guitar,Daily,2024-10-24
4,270,Classical,Trumpet,Never,2024-04-28
5,48,Classical,Saxophone,Rarely,2024-03-27
6,362,Hip Hop,Saxophone,Occasionally,2024-02-05
7,355,Hip Hop,Guitar,Weekly,2024-03-12
8,466,Jazz,Saxophone,Rarely,2024-06-04
9,155,Pop,Flute,Weekly,2024-08-03
10,263,Pop,Trumpet,Weekly,2024-01-18
11,245,Jazz,Trumpet,Weekly,2024-08-17
12,14,Pop,Violin,Never,2024-06-22
13,134,Pop,Guitar,Daily,2024-11-10
14,244,Hip Hop,Drums,Daily,2024-06-01
15,32,Hip Hop,Flute,Daily,2024-07-04
16,399,Hip Hop,Trumpet,Occasionally,2024-03-28
17,87,Hip Hop,Trumpet,Daily,2024-11-05
18,526,Classical,Piano,Daily,2024-05-05
19,319,Electronic,Guitar,Weekly,2024-06-22
20,131,Rock,Trumpet,Occasionally,2024-04-12
21,314,Classical,Flute,Occasionally,2024-08-05
22,1,Hip Hop,Drums,Weekly,2024-07-29
23,402,Electronic,Piano,Weekly,2024-07-25
24,226,Classical,Saxophone,Weekly,2024-09-13
25,307,Rock,Flute,Rarely,2024-03-16
26,112,Rock,Guitar,Weekly,2024-10-22
27,427,Country,Guitar,Occasionally,2024-06-19
28,510,Electronic,Guitar,Occasionally,2024-11-11
29,460,Country,Guitar,Rarely,2024-05-21
30,440,Jazz,Piano,Never,2024-04-01
31,539,Electronic,Piano,Rarely,2024-10-05
32,106,Rock,Drums,Rarely,2024-07-11
33,484,Jazz,Drums,Rarely,2024-06-30
34,215,Rock,Violin,Never,2024-02-15
35,253,Rock,Piano,Never,2024-01-04
36,527,Rock,Piano,Rarely,2024-02-09
37,434,Classical,Guitar,Weekly,2024-06-07
38,266,Pop,Drums,Never,2024-02-03
39,334,Hip Hop,Drums,Daily,2024-04-23
40,213,Hip Hop,Saxophone,Occasionally,2024-07-10
41,413,Jazz,Violin,Daily,2024-09-04
42,91,Rock,Flute,Daily,2024-01-24
43,165,Electronic,Violin,Rarely,2024-08-25
44,230,Pop,Piano,Weekly,2024-04-05
45,233,Classical,Piano,Rarely,2024-02-15
46,435,Electronic,Piano,Weekly,2024-09-15
47,260,Classical,Saxophone,Weekly,2024-01-07
48,125,Pop,Guitar,Daily,2024-09-28
49,267,Pop,Trumpet,Rarely,2024-09-08
50,273,Rock,Guitar,Weekly,2024-02-25
51,160,Pop,Guitar,Daily,2024-07-25
52,406,Hip Hop,Piano,Occasionally,2024-08-20
53,541,Electronic,Saxophone,Occasionally,2024-07-20
54,53,Country,Saxophone,Weekly,2024-05-31
55,276,Classical,Trumpet,Daily,2024-08-31
56,225,Rock,Violin,Weekly,2024-05-19
57,213,Rock,Piano,Rarely,2024-06-15
58,156,Rock,Guitar,Never,2024-06-08
59,541,Jazz,Flute,Occasionally,2024-07-03
60,291,Electronic,Violin,Never,2024-05-09
61,521,Electronic,Violin,Occasionally,2024-10-27
62,173,Hip Hop,Violin,Daily,2024-05-03
63,527,Classical,Violin,Daily,2024-05-14
64,388,Pop,Violin,Never,2024-10-25
65,254,Jazz,Violin,Rarely,2024-04-07
66,491,Hip Hop,Drums,Daily,2024-01-08
67,486,Rock,Drums,Daily,2024-01-16
68,138,Jazz,Drums,Occasionally,2024-09-17
69,428,Jazz,Drums,Weekly,2024-10-24
70,234,Classical,Drums,Never,2024-06-23
71,145,Electronic,Trumpet,Rarely,2024-09-11
72,7,Country,Drums,Occasionally,2024-05-20
73,421,Electronic,Trumpet,Weekly,2024-06-13
74,295,Electronic,Piano,Never,2024-04-15
75,354,Electronic,Piano,Never,2024-02-08
76,321,Electronic,Drums,Never,2024-11-09
77,73,Classical,Saxophone,Never,2024-09-26
78,547,Country,Violin,Weekly,2024-03-26
79,217,Country,Piano,Never,2024-08-14
80,513,Country,Violin,Daily,2024-01-20
81,290,Country,Trumpet,Weekly,2024-03-06
82,388,Jazz,Guitar,Never,2024-04-24
83,348,Classical,Guitar,Occasionally,2024-03-02
84,61,Classical,Trumpet,Daily,2024-08-16
85,321,Classical,Flute,Daily,2024-11-08
86,209,Classical,Piano,Occasionally,2024-03-11
87,466,Pop,Piano,Weekly,2024-11-09
88,424,Pop,Piano,Weekly,2024-06-23
89,176,Classical,Guitar,Occasionally,2024-03-02
90,177,Pop,Flute,Weekly,2024-02-20
91,34,Hip Hop,Drums,Rarely,2024-06-15
92,274,Classical,Drums,Rarely,2024-03-31
93,277,Country,Drums,Daily,2024-04-21
94,132,Classical,Saxophone,Occasionally,2024-03-19
95,14,Classical,Piano,Rarely,2024-07-10
96,482,Hip Hop,Trumpet,Daily,2024-04-09
97,31,Jazz,Saxophone,Rarely,2024-10-08
98,558,Electronic,Violin,Daily,2024-02-12
99,167,Electronic,Drums,Daily,2024-02-12
100,87,Hip Hop,Guitar,Rarely,2024-08-17
101,325,Electronic,Saxophone,Daily,2024-08-17
102,53,Rock,Drums,Occasionally,2024-03-08
103,136,Hip Hop,Guitar,Rarely,2024-02-23
104,202,Rock,Violin,Daily,2024-03-29
105,528,Pop,Flute,Weekly,2024-07-09
106,62,Classical,Drums,Weekly,2024-06-30
107,389,Country,Trumpet,Daily,2024-07-09
108,237,Electronic,Drums,Occasionally,2024-01-25
109,9,Jazz,Trumpet,Weekly,2024-03-19
110,490,Classical,Violin,Occasionally,2024-10-11
111,280,Country,Saxophone,Rarely,2024-10-11
112,486,Country,Violin,Never,2024-05-07
113,426,Jazz,Flute,Rarely,2024-08-16
114,49,Country,Flute,Rarely,2024-06-17
115,554,Country,Drums,Weekly,2024-11-04
116,146,Classical,Drums,Daily,2024-04-13
117,29,Electronic,Violin,Never,2024-04-11
118,26,Jazz,Flute,Weekly,2024-11-13
119,322,Rock,Saxophone,Never,2024-05-26
120,173,Country,Trumpet,Rarely,2024-11-08
121,21,Jazz,Trumpet,Occasionally,2024-01-10
122,523,Rock,Trumpet,Daily,2024-03-08
123,547,Jazz,Drums,Rarely,2024-06-04
124,157,Rock,Flute,Occasionally,2024-01-04
125,102,Classical,Violin,Occasionally,2024-05-16
126,212,Country,Trumpet,Weekly,2024-07-15
127,303,Electronic,Drums,Occasionally,2024-10-13
128,358,Electronic,Drums,Weekly,2024-05-08
129,22,Hip Hop,Violin,Never,2024-02-07
130,93,Rock,Guitar,Rarely,2024-03-05
131,471,Hip Hop,Piano,Rarely,2024-01-15
132,484,Classical,Piano,Occasionally,2024-02-14
133,166,Classical,Drums,Occasionally,2024-10-06
134,254,Rock,Violin,Weekly,2024-06-16
135,346,Country,Piano,Rarely,2024-03-04
136,462,Electronic,Trumpet,Never,2024-09-17
137,350,Jazz,Trumpet,Occasionally,2024-10-31
138,1,Electronic,Piano,Never,2024-06-20
139,505,Pop,Guitar,Never,2024-11-12
140,40,Classical,Trumpet,Daily,2024-06-23
141,394,Electronic,Piano,Weekly,2024-07-05
142,534,Hip Hop,Saxophone,Rarely,2024-08-16
143,82,Classical,Drums,Occasionally,2024-09-01
144,400,Hip Hop,Trumpet,Never,2024-09-15
145,75,Country,Saxophone,Occasionally,2024-02-03
146,61,Electronic,Saxophone,Never,2024-07-31
147,447,Electronic,Saxophone,Weekly,2024-02-01
148,84,Electronic,Trumpet,Daily,2024-08-07
149,136,Electronic,Piano,Never,2024-06-18
150,33,Jazz,Drums,Rarely,2024-06-25
151,256,Classical,Flute,Rarely,2024-02-08
152,325,Classical,Guitar,Weekly,2024-10-05
153,63,Country,Saxophone,Daily,2024-01-16
154,422,Electronic,Guitar,Daily,2024-08-06
155,37,Country,Drums,Weekly,2024-10-25
156,364,Rock,Flute,Never,2024-01-05
157,164,Jazz,Guitar,Occasionally,2024-08-17
158,108,Hip Hop,Violin,Occasionally,2024-08-03
159,499,Country,Violin,Occasionally,2024-02-13
160,121,Pop,Violin,Occasionally,2024-03-11
161,252,Country,Flute,Never,2024-08-06
162,169,Rock,Piano,Never,2024-03-22
163,516,Classical,Guitar,Weekly,2024-11-10
164,71,Country,Piano,Never,2024-02-08
165,470,Classical,Violin,Weekly,2024-09-18
166,290,Jazz,Flute,Weekly,2024-03-09
167,137,Jazz,Flute,Rarely,2024-03-28
168,496,Electronic,Trumpet,Rarely,2024-02-16
169,296,Jazz,Flute,Rarely,2024-04-08
170,12,Pop,Drums,Weekly,2024-07-22
171,102,Pop,Flute,Occasionally,2024-01-15
172,341,Country,Flute,Rarely,2024-04-20
173,366,Classical,Violin,Weekly,2024-06-03
174,412,Hip Hop,Saxophone,Weekly,2024-01-22
175,389,Rock,Drums,Never,2024-06-25
176,393,Pop,Piano,Occasionally,2024-08-08
177,154,Jazz,Saxophone,Rarely,2024-05-11
178,86,Rock,Saxophone,Never,2024-09-04
179,110,Rock,Guitar,Occasionally,2024-08-14
180,338,Electronic,Saxophone,Weekly,2024-06-05
181,56,Pop,Violin,Occasionally,2024-10-14
182,109,Electronic,Flute,Rarely,2024-06-29
183,220,Hip Hop,Drums,Occasionally,2024-03-07
184,454,Pop,Guitar,Occasionally,2024-09-26
185,193,Rock,Drums,Never,2024-04-11
186,484,Jazz,Saxophone,Occasionally,2024-08-22
187,492,Electronic,Saxophone,Daily,2024-09-22
188,122,Pop,Violin,Occasionally,2024-07-08
189,369,Country,Trumpet,Never,2024-04-07
190,414,Classical,Guitar,Weekly,2024-05-14
191,204,Hip Hop,Saxophone,Daily,2024-08-30
192,130,Classical,Guitar,Occasionally,2024-03-01
193,29,Country,Piano,Daily,2024-06-15
194,230,Pop,Flute,Weekly,2024-06-26
195,441,Classical,Flute,Daily,2024-08-11
196,525,Electronic,Violin,Rarely,2024-06-26
197,346,Rock,Saxophone,Daily,2024-09-14
198,203,Classical,Drums,Never,2024-04-06
199,533,Jazz,Guitar,Rarely,2024-06-01
200,536,Hip Hop,Piano,Rarely,2024-06-10
201,504,Rock,Trumpet,Daily,2024-08-27
202,501,Electronic,Saxophone,Weekly,2024-08-06
203,93,Classical,Piano,Never,2024-07-23
204,66,Jazz,Violin,Daily,2024-06-29
205,459,Country,Violin,Daily,2024-06-13
206,60,Country,Violin,Never,2024-04-16
207,230,Country,Flute,Rarely,2024-01-28
208,358,Pop,Saxophone,Never,2024-08-10
209,387,Rock,Piano,Never,2024-10-03
210,296,Electronic,Saxophone,Occasionally,2024-09-17
211,362,Pop,Guitar,Never,2024-10-02
212,389,Country,Flute,Rarely,2024-05-02
213,7,Country,Drums,Occasionally,2024-09-04
214,383,Hip Hop,Flute,Weekly,2024-08-25
215,299,Classical,Violin,Rarely,2024-08-08
216,278,Electronic,Violin,Occasionally,2024-02-16
